,№,Адрес,Управляющий,Телефон,Год,Площадь м2,Жители
1,4452,"г. Новосибирск, ул. Воинская 2-я, д. 24",УК «УКЖХ Октябрьского района»,266-16-16,1957,547.00,25
2,4453,"г. Новосибирск, ул. Воскова, д. 4",УК «УКЖХ Октябрьского района»,266-16-16,1942,120.20,13
3,4454,"г. Новосибирск, ул. Воскова, д. 6",УК «УКЖХ Октябрьского района»,266-16-16,1942,105.90,15
4,4455,"г. Новосибирск, ул. Воскова, д. 8",УК «УКЖХ Октябрьского района»,266-16-16,1942,106.70,7
5,4456,"г. Новосибирск, ул. Воскова, д. 12",УК «УКЖХ Октябрьского района»,266-16-16,1942,103.90,15
6,4457,"г. Новосибирск, ул. Воскова, д. 14",УК «УКЖХ Октябрьского района»,266-16-16,1942,118.50,17
7,4458,"г. Новосибирск, ул. Воскова, д. 16",УК «УКЖХ Октябрьского района»,266-16-16,1942,142.90,5
8,4459,"г. Новосибирск, ул. Воскова, д. 18",УК «УКЖХ Октябрьского района»,266-16-16,1944,126.00,7
9,4460,"г. Новосибирск, ул. Воскова, д. 20",УК «УКЖХ Октябрьского района»,266-16-16,1942,114.20,6
10,4461,"г. Новосибирск, ул. Восход, д. 1",УК «УКЖХ Октябрьского района»,266-16-16,1961,1 874.30,58
11,4462,"г. Новосибирск, ул. Восход, д. 3",УК «УКЖХ Октябрьского района»,266-16-16,1962,3 982.10,135
12,4463,"г. Новосибирск, ул. Восход, д. 5",УК «УКЖХ Октябрьского района»,266-16-16,1962,3 889.90,257
13,4464,"г. Новосибирск, ул. Восход, д. 7",УК «УКЖХ Октябрьского района»,266-16-16,1967,6 605.50,146
14,4465,"г. Новосибирск, ул. Восход, д. 11",УК «УКЖХ Октябрьского района»,266-16-16,1951,2 045.70,68
15,4466,"г. Новосибирск, ул. Восход, д. 14",УК «УКЖХ Октябрьского района»,266-16-16,1962,2 974.20,176
16,4467,"г. Новосибирск, ул. Восход, д. 18",УК «УКЖХ Октябрьского района»,266-16-16,1959,4 565.20,105
17,4468,"г. Новосибирск, ул. Восход, д. 26",УК «УКЖХ Октябрьского района»,266-16-16,1960,4 232.20,114
18,4469,"г. Новосибирск, ул. Выборная, д. 17",УК «УКЖХ Октябрьского района»,266-16-16,1959,398.20,24
19,4470,"г. Новосибирск, ул. Выборная, д. 19",УК «УКЖХ Октябрьского района»,266-16-16,1959,292.70,21
20,4471,"г. Новосибирск, ул. Выборная, д. 21",УК «УКЖХ Октябрьского района»,266-16-16,1960,293.10,23
21,4472,"г. Новосибирск, ул. Выборная, д. 89",УК «УКЖХ Октябрьского района»,266-16-16,1985,4 379.10,243
22,4473,"г. Новосибирск, ул. Выборная, д. 89/1",УК «УКЖХ Октябрьского района»,266-16-16,1988,2 911.60,152
23,4474,"г. Новосибирск, ул. Выборная, д. 91",УК «УКЖХ Октябрьского района»,266-16-16,1984,2 938.00,137
24,4475,"г. Новосибирск, ул. Выборная, д. 93",УК «УКЖХ Октябрьского района»,266-16-16,1984,2 822.30,138
1,4477,"г. Новосибирск, ул. Выборная, д. 97",УК «УКЖХ Октябрьского района»,266-16-16,1984,2 865.90,118
2,4478,"г. Новосибирск, ул. Выборная, д. 99",УК «УКЖХ Октябрьского района»,266-16-16,1984,4 274.30,204
3,4479,"г. Новосибирск, ул. Выборная, д. 101",УК «УКЖХ Октябрьского района»,266-16-16,1982,4 969.40,229
4,4480,"г. Новосибирск, ул. Выборная, д. 101/1",УК «УКЖХ Октябрьского района»,266-16-16,1988,9 914.50,425
5,4481,"г. Новосибирск, ул. Выборная, д. 101/2",УК «УКЖХ Октябрьского района»,266-16-16,1988,2 798.40,154
6,4482,"г. Новосибирск, ул. Выборная, д. 101/3",УК «УКЖХ Октябрьского района»,266-16-16,1988,2 869.40,166
7,4483,"г. Новосибирск, ул. Выборная, д. 101/5",УК «УКЖХ Октябрьского района»,266-16-16,199,7 657.30,298
8,4484,"г. Новосибирск, ул. Выборная, д. 103",УК «УКЖХ Октябрьского района»,266-16-16,1982,4 998.20,228
9,4485,"г. Новосибирск, ул. Выборная, д. 103/1",УК «УКЖХ Октябрьского района»,266-16-16,1995,2 795.10,134
10,4486,"г. Новосибирск, ул. Выборная, д. 103/2",УК «УКЖХ Октябрьского района»,266-16-16,1997,3 683.60,138
11,4487,"г. Новосибирск, ул. Выборная, д. 105",УК «УКЖХ Октябрьского района»,266-16-16,1984,2 870.90,166
12,4488,"г. Новосибирск, ул. Выборная, д. 105/1",УК «УКЖХ Октябрьского района»,266-16-16,1990,6 469.70,304
13,4489,"г. Новосибирск, ул. Выборная, д. 105/2",УК «УКЖХ Октябрьского района»,266-16-16,2013,4 070.30,198
14,4490,"г. Новосибирск, ул. Выборная, д. 105/3",УК «УКЖХ Октябрьского района»,266-16-16,2013,4 121.15,198
15,4491,"г. Новосибирск, ул. Выборная, д. 106",УК «УКЖХ Октябрьского района»,266-16-16,1980,12 915.40,566
16,4492,"г. Новосибирск, ул. Выборная, д. 107",УК «УКЖХ Октябрьского района»,266-16-16,1985,4 361.70,208
17,4493,"г. Новосибирск, ул. Выборная, д. 108",УК «УКЖХ Октябрьского района»,266-16-16,1987,12 971.70,578
18,4494,"г. Новосибирск, ул. Выборная, д. 109",УК «УКЖХ Октябрьского района»,266-16-16,1983,2 852.90,119
19,4495,"г. Новосибирск, ул. Выборная, д. 110",УК «УКЖХ Октябрьского района»,266-16-16,1980,8 576.60,364
20,4496,"г. Новосибирск, ул. Выборная, д. 111",УК «УКЖХ Октябрьского района»,266-16-16,1982,2 830.30,161
21,4497,"г. Новосибирск, ул. Выборная, д. 113",УК «УКЖХ Октябрьского района»,266-16-16,1984,2 889.70,126
22,4498,"г. Новосибирск, ул. Выборная, д. 113/1",УК «УКЖХ Октябрьского района»,266-16-16,1988,4 468.70,219
23,4499,"г. Новосибирск, ул. Выборная, д. 115",УК «УКЖХ Октябрьского района»,266-16-16,1984,2 934.40,128
24,4500,"г. Новосибирск, ул. Выборная, д. 116",УК «УКЖХ Октябрьского района»,266-16-16,1979,15 581.70,706
1,4502,"г. Новосибирск, ул. Выборная, д. 117/1",УК «УКЖХ Октябрьского района»,266-16-16,1994,5 442.00,215
2,4503,"г. Новосибирск, ул. Выборная, д. 119",УК «УКЖХ Октябрьского района»,266-16-16,1985,3 027.10,152
3,4504,"г. Новосибирск, ул. Выборная, д. 121",УК «УКЖХ Октябрьского района»,266-16-16,1985,4 382.50,232
4,4505,"г. Новосибирск, ул. Выборная, д. 123",УК «УКЖХ Октябрьского района»,266-16-16,1986,4 370.50,187
5,4506,"г. Новосибирск, ул. Выборная, д. 124",УК «УКЖХ Октябрьского района»,266-16-16,1994,16 417.50,635
6,4507,"г. Новосибирск, ул. Выборная, д. 124/1",УК «УКЖХ Октябрьского района»,266-16-16,1996,7 311.00,266
7,4508,"г. Новосибирск, ул. Выборная, д. 124/2",УК «УКЖХ Октябрьского района»,266-16-16,1996,3 119.40,56
8,4509,"г. Новосибирск, ул. Выборная, д. 127",УК «УКЖХ Октябрьского района»,266-16-16,1994,8 621.20,415
9,4510,"г. Новосибирск, ул. Выборная, д. 129",УК «УКЖХ Октябрьского района»,266-16-16,1996,8 577.15,377
10,4511,"г. Новосибирск, ул. Выборная, д. 130",УК «УКЖХ Октябрьского района»,266-16-16,1998,9 534.90,337
11,4512,"г. Новосибирск, ул. Выборная, д. 146",УК «УКЖХ Октябрьского района»,266-16-16,1985,4 319.90,195
12,4513,"г. Новосибирск, ул. Гаранина, д. 1",УК «УКЖХ Октябрьского района»,266-16-16,1967,3 643.40,151
13,4514,"г. Новосибирск, ул. Гаранина, д. 3",УК «УКЖХ Октябрьского района»,266-16-16,1966,3 909.00,146
14,4515,"г. Новосибирск, ул. Гаранина, д. 4",УК «УКЖХ Октябрьского района»,266-16-16,1960,1 397.90,57
15,4516,"г. Новосибирск, ул. Гаранина, д. 5",УК «УКЖХ Октябрьского района»,266-16-16,1966,3 630.60,171
16,4517,"г. Новосибирск, ул. Гаранина, д. 7",УК «УКЖХ Октябрьского района»,266-16-16,1991,7 790.20,310
17,4518,"г. Новосибирск, ул. Гаранина, д. 8",УК «УКЖХ Октябрьского района»,266-16-16,1956,523.90,13
18,4519,"г. Новосибирск, ул. Гаранина, д. 10",УК «УКЖХ Октябрьского района»,266-16-16,1956,520.30,30
19,4520,"г. Новосибирск, ул. Гаранина, д. 13",УК «УКЖХ Октябрьского района»,266-16-16,1960,1 365.60,53
20,4521,"г. Новосибирск, ул. Гаранина, д. 16",УК «УКЖХ Октябрьского района»,266-16-16,1964,436.70,18
21,4522,"г. Новосибирск, ул. Гаранина, д. 17",УК «УКЖХ Октябрьского района»,266-16-16,1972,2 863.30,116
22,4523,"г. Новосибирск, ул. Гаранина, д. 18",УК «УКЖХ Октябрьского района»,266-16-16,1969,3 507.20,159
23,4524,"г. Новосибирск, ул. Гаранина, д. 19",УК «УКЖХ Октябрьского района»,266-16-16,1974,3 638.00,155
24,4525,"г. Новосибирск, ул. Гаранина, д. 21",УК «УКЖХ Октябрьского района»,266-16-16,1979,11 970.60,537
1,4527,"г. Новосибирск, ул. Гаранина, д. 25/1",УК «УКЖХ Октябрьского района»,266-16-16,1990,4 393.80,181
2,4528,"г. Новосибирск, ул. Гаранина, д. 25/2",УК «УКЖХ Октябрьского района»,266-16-16,1992,7 298.70,308
3,4529,"г. Новосибирск, ул. Гаранина, д. 27",УК «УКЖХ Октябрьского района»,266-16-16,1961,885.80,46
4,4530,"г. Новосибирск, ул. Грибоедова, д. 33",УК «УКЖХ Октябрьского района»,266-16-16,1976,3 907.40,148
5,4531,"г. Новосибирск, ул. Грибоедова, д. 73",УК «УКЖХ Октябрьского района»,266-16-16,1971,5 840.70,286
6,4532,"г. Новосибирск, ул. Грибоедова, д. 75",УК «УКЖХ Октябрьского района»,266-16-16,1971,3 610.40,140
7,4533,"г. Новосибирск, ул. Грибоедова, д. 95",УК «УКЖХ Октябрьского района»,266-16-16,1958,429.40,42
8,4534,"г. Новосибирск, ул. Грибоедова, д. 97",УК «УКЖХ Октябрьского района»,266-16-16,1960,859.35,44
9,4535,"г. Новосибирск, ул. Грибоедова, д. 99",УК «УКЖХ Октябрьского района»,266-16-16,1958,388.50,22
10,4536,"г. Новосибирск, ул. Грибоедова, д. 115",УК «УКЖХ Октябрьского района»,266-16-16,1950,523.20,28
